#50 mus error
#Día  m1_sin_ruido	m1_con_ruido	m2_sin_ruido	m2_con_ruido
0		  58.1672		  82.9589		  51.3365		  75.2351
1		  98.3883		 132.2519		 116.2103		 147.9117
2		 255.9736		 304.2483		 214.5835		 248.4935
3		 392.2381		 442.4318		 391.2544		 440.4909
4		 549.9647		 614.6649		 487.0398		 529.4534
5		 706.0416		 763.5388		 690.7709		 732.3053
6		 868.9182		 921.3186		 817.0725		 858.3685
7		1051.4651		1124.7250		 914.6389		 938.1745
8		1240.6376		1311.9995		1202.2674		1260.8021
9		1433.7213		1503.3192		1429.9018		1495.1373
10		1606.0499		1676.6077		1584.1393		1637.0544

#100 mus error
#Día	m1_sin_ruido	m1_con_ruido	m2_sin_ruido	m2_con_ruido
0		  58.1672		 130.2924		  51.3365		 120.6832
1		  98.3883		 203.5288		 116.2103		 217.6225
2		 255.9736		 429.2293		 214.5835		 344.1027
3		 392.2381		 603.5869		 391.2544		 574.7163
4		 549.9647        823.9797		 487.0398        664.6201
5		 706.0416        978.0517		 690.7709		 878.2236
6		 868.9182		1109.2273        817.0725		 977.4890
7		1051.4651		1397.2991		 914.6389		1063.0477
8		1240.6376		1626.7769		1202.2674		1428.9425
9		1433.7213		1824.3243		1429.9018		1761.1094
10		1606.0499		1988.0359		1584.1393		1812.0910
