         MJD           Ac           As           X0           Y0           dX           dY
 47892.00000    -166.9879     -18.0374      10.7402     -86.7196     178.2795     -74.8489 
 47893.00000    -167.1468     -18.0016      10.7531     -86.7750     178.6047     -77.3975 
 47894.00000    -167.6504     -17.6721      10.4750     -86.3786     178.9264     -79.8167 
 47895.00000    -168.0414     -17.1810      10.4395     -85.5491     179.3190     -81.9703 
 47896.00000    -169.0036     -16.4460      10.0215     -84.2821     179.8231     -83.9945 
 47897.00000    -171.2203     -15.0243       8.4730     -82.2396     180.3081     -86.0893 
 47898.00000    -174.5024     -12.9160       5.8957     -79.4875     180.6510     -88.3472 
 47899.00000    -177.8651     -10.8912       3.1908     -76.8721     180.8473     -90.7560 
 47900.00000    -180.2722      -9.5902       1.2187     -75.2191     180.8329     -93.3516 
 47901.00000    -181.2972      -9.1215       0.3101     -74.7488     180.5722     -96.1377 
 47902.00000    -181.1719      -9.2050       0.3187     -75.1024     180.1410     -99.0179 
 47903.00000    -180.2010      -9.5841       1.0524     -75.9080     179.6284    -101.8860 
 47904.00000    -178.3455     -10.2995       2.6254     -77.1197     179.1396    -104.6141 
 47905.00000    -175.8011     -11.3687       4.8367     -78.6870     178.6915    -107.1437 
 47906.00000    -173.7885     -12.1731       6.4528     -79.8949     178.1113    -109.6265 
 47907.00000    -172.5404     -12.7194       7.2506     -80.6949     177.3873    -112.0869 
 47908.00000    -171.3533     -13.6291       7.9270     -81.7232     176.6862    -114.4038 
 47909.00000    -170.5820     -14.7670       8.1691     -82.8218     176.0129    -116.6559 
 47910.00000    -170.4410     -15.6126       7.9323     -83.5731     175.3789    -119.0065 
 47911.00000    -170.5879     -15.8664       7.7143     -83.8418     174.8435    -121.5221 
 47912.00000    -170.7490     -15.3663       7.7978     -83.4934     174.3494    -124.1370 
 47913.00000    -170.7491     -14.1083       8.2608     -82.4645     173.7769    -126.7218 
 47914.00000    -170.7377     -12.6541       8.6875     -81.1200     173.0186    -129.1488 
 47915.00000    -170.5362     -11.5486       9.0895     -80.1921     172.1108    -131.5730 
 47916.00000    -170.8831     -11.1830       8.8050     -79.8087     171.2413    -134.0356 
 47917.00000    -171.4416     -11.8078       8.0125     -80.3524     170.3976    -136.5906 
 47918.00000    -171.0914     -12.8134       7.9016     -81.6943     169.5345    -139.2379 
 47919.00000    -170.3717     -13.3030       8.4249     -82.5537     168.7506    -141.7072 
 47920.00000    -169.7394     -13.0298       9.2902     -82.5301     168.0462    -143.9936 
 47921.00000    -169.2671     -12.2096      10.2794     -81.9843     167.3328    -146.2856 
 47922.00000    -168.8312     -11.1385      11.3112     -81.3632     166.5306    -148.7055 
 47923.00000    -168.5025     -10.6292      11.8532     -81.2879     165.5424    -151.1857 
 47924.00000    -168.5183     -11.4983      11.2529     -82.1881     164.3382    -153.5708 
 47925.00000    -168.6141     -12.9731      10.3273     -83.4442     163.1681    -155.8231 
 47926.00000    -168.4723     -13.6788      10.3092     -84.0653     162.3130    -157.9901 
 47927.00000    -168.1271     -13.7199      11.0305     -84.2048     161.6647    -160.1277 
 47928.00000    -167.6599     -13.9655      11.7074     -84.6237     160.9521    -162.2824 
 47929.00000    -167.1096     -14.7457      11.9981     -85.6107     160.0571    -164.4876 
 47930.00000    -166.2753     -15.9334      12.1695     -87.1601     159.0308    -166.7409 
 47931.00000    -165.1216     -16.9387      12.7304     -88.7813     158.0387    -169.0157 
 47932.00000    -164.3458     -16.4785      14.0991     -89.0281     157.3209    -171.2997 
 47933.00000    -164.2540     -14.6783      15.8729     -87.7240     156.7342    -173.4732 
 47934.00000    -164.2359     -12.8676      17.3861     -86.1908     155.8683    -175.4189 
 47935.00000    -163.1990     -11.3371      19.1574     -85.4518     154.5607    -177.2581 
 47936.00000    -161.1003      -9.9042      21.4271     -85.4739     152.9415    -179.0439 
 47937.00000    -159.1322      -8.5633      23.4759     -85.4126     151.2387    -180.6652 
 47938.00000    -157.5987      -7.1226      25.2893     -84.9799     149.5448    -182.1842 
 47939.00000    -156.2182      -5.3989      27.2052     -84.3599     147.8512    -183.7471 
 47940.00000    -155.3985      -3.7268      28.6810     -83.5788     146.1304    -185.4032 
 47941.00000    -155.5967      -2.5975      29.0310     -82.6461     144.3526    -187.1355 
 47942.00000    -156.6270      -2.3570      28.1543     -81.7522     142.5113    -188.8039 
 47943.00000    -157.7494      -2.7777      26.7556     -81.1169     140.6290    -190.3206 
 47944.00000    -157.9717      -2.5884      26.4597     -80.7650     138.7453    -191.9121 
 47945.00000    -157.3109      -1.9066      27.0509     -80.9142     136.7511    -193.6804 
 47946.00000    -156.1290      -2.2149      27.2155     -82.0680     134.6817    -195.3471 
 47947.00000    -155.4415      -3.1034      26.9656     -82.9719     132.9686    -196.7044 
 47948.00000    -155.8209      -3.5512      26.6822     -82.6278     131.5989    -197.8894 
 47949.00000    -156.4346      -3.4077      26.6495     -81.7854     130.1571    -199.1292 
 47950.00000    -157.0062      -2.7942      26.8763     -80.7695     128.5460    -200.4442 
 47951.00000    -157.8835      -1.9250      27.1005     -79.3614     126.8765    -201.7366 
 47952.00000    -159.2223      -0.9447      27.1696     -77.4824     125.1886    -202.9612 
 47953.00000    -160.9071       0.0604      27.0813     -75.2710     123.4614    -204.1196 
 47954.00000    -162.6467       1.0434      26.9408     -73.0058     121.6546    -205.2342 
 47955.00000    -163.7931       2.1594      27.1414     -71.1764     119.6603    -206.3544 
 47956.00000    -163.8684       3.5733      27.9990     -70.1289     117.4075    -207.5034 
 47957.00000    -163.0872       5.2018      29.3617     -69.7335     114.9641    -208.6461 
 47958.00000    -161.9250       6.8099      30.8736     -69.7000     112.4561    -209.7371 
 47959.00000    -160.7478       8.0886      32.1861     -69.8685     110.0067    -210.7558 
 47960.00000    -159.9164       8.5635      32.8488     -70.1570     107.7677    -211.6977 
 47961.00000    -159.7068       8.2945      32.7977     -70.2500     105.7680    -212.5540 
 47962.00000    -159.7600       8.1311      32.7702     -70.0543     103.8219    -213.3757 
 47963.00000    -159.4651       8.5444      33.3361     -69.9428     101.7823    -214.2247 
 47964.00000    -158.7355       9.2290      34.2423     -70.1289      99.6282    -215.0662 
 47965.00000    -158.2215       9.7883      34.9020     -70.2052      97.4324    -215.8754 
 47966.00000    -158.7500      10.0823      34.9424     -69.5096      95.3044    -216.6819 
 47967.00000    -160.5406      10.1482      34.3739     -67.8214      93.2789    -217.5094 
 47968.00000    -163.0682      10.2786      33.6423     -65.4591      91.2734    -218.3497 
 47969.00000    -164.9914      10.7649      33.4185     -63.5430      89.1278    -219.2174 
 47970.00000    -164.9498      11.1906      33.7978     -63.4729      86.8175    -220.0698 
 47971.00000    -163.6299      11.5057      34.5426     -64.5611      84.4868    -220.8068 
 47972.00000    -163.0485      12.3778      35.6028     -64.6682      82.2365    -221.3952 
 47973.00000    -163.3081      13.4271      36.6164     -63.9673      80.0587    -221.9629 
 47974.00000    -163.6230      14.0289      37.2429     -63.5302      77.9075    -222.6392 
 47975.00000    -164.2622      14.7083      37.7602     -62.8548      75.6527    -223.3620 
 47976.00000    -165.5009      15.9804      38.5014     -61.4173      73.2056    -224.0258 
 47977.00000    -166.9965      17.6500      39.4592     -59.5952      70.6153    -224.6063 
 47978.00000    -168.2307      19.2976      40.4467     -58.0197      67.9417    -225.1065 
 47979.00000    -168.8389      20.5679      41.2456     -57.1521      65.2274    -225.5400 
 47980.00000    -168.6927      21.0414      41.5088     -57.2776      62.5327    -225.9725 
 47981.00000    -168.0068      20.7393      41.2489     -58.2247      59.9410    -226.4715 
 47982.00000    -167.1059      20.4272      41.1558     -59.4271      57.4966    -226.9819 
 47983.00000    -166.3036      20.8080      41.7994     -60.3206      55.1546    -227.3879 
 47984.00000    -166.1375      22.0120      43.0827     -60.3248      52.7817    -227.6333 
