#50 ms ruido
#Día    m1_sin_ruido	m1_con_ruido    m2_sin_ruido    m2_con_ruido
0		 118.5338		 128.5396		  84.1556		 101.9152
1		 134.4180		 165.5905		 179.3003		 198.2461
2		 654.1448		 652.1035		 343.4288		 360.1046
3		1024.9997		1019.8234		 844.3061		 840.9960
4		1603.1690		1593.4838		795.72240		 810.8686
5		1763.8305		1754.9257		1307.1401		1310.4106
6		1934.3164		1924.3650		1312.6998		1315.8490
7		2986.6682		2971.8385		1261.5715		1298.2941
8		3690.3334		3671.7376		2285.1721		2271.3894
9		5127.5970		5104.3812		3245.5386		3226.2082
10		5577.7012		5559.6206		2745.7066		2738.2490

#100 ms ruido
Día	m1_sin_ruido	   m1_con_ruido	   m2_sin_ruido	   m2_con_ruido
0		 118.5338		 174.4279         84.1556		 159.9642
1		 134.4180		 269.7898		 179.3003		 288.2256
2		 654.1448		 692.2027        343.4288	     468.1004
3		1024.9997		1056.7765		 844.3061		 903.4823
4		1603.1690		1615.1681		 795.7224		 941.4431
5		1763.8305		1791.4383		1307.1401		1404.7040
6		1934.3164		1980.4903		1312.6998		1465.0601
7		2986.6682		2979.6136		1261.5715		1475.2216
8		3690.3334		3680.7992		2285.1721		2379.8996
9		5127.5970		5123.6799		3245.5386		3283.4091
10		5577.7012		5563.2886		2745.7066		2864.0864
